time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
270,0.00648836,8.70408,0.00648663,751.427,346.47,2.95689
271,0.00646066,8.66585,0.00645893,751.448,347,2.97059
272,0.00643295,8.62759,0.00643122,751.325,347.515,2.98551
273,0.00640524,8.58931,0.0064035,751.352,348.049,2.99933
274,0.00637751,8.55103,0.00637578,751.375,348.585,3.01338
275,0.00634978,8.51272,0.00634804,751.241,349.105,3.02864
276,0.00632204,8.4744,0.0063203,751.275,349.646,3.04296
277,0.00629429,8.43605,0.00629255,751.301,350.188,3.05738
278,0.00626653,8.3977,0.00626479,751.323,350.731,3.07205
279,0.00623876,8.35933,0.00623702,751.195,351.259,3.08776
280,0.00621098,8.32093,0.00620925,751.224,351.807,3.10261
281,0.0061832,8.28253,0.00618146,751.25,352.356,3.11764
282,0.00615541,8.2441,0.00615367,751.273,352.907,3.13289
283,0.00612761,8.20566,0.00612587,751.146,353.443,3.14897
284,0.0060998,8.16721,0.00609806,751.175,353.998,3.16438
285,0.00607198,8.12874,0.00607024,751.2,354.555,3.17998
286,0.00604415,8.09025,0.00604241,751.065,355.096,3.19634
287,0.00601632,8.05175,0.00601458,751.098,355.659,3.21219
288,0.00598847,8.01323,0.00598673,751.126,356.223,3.22812
289,0.00596062,7.9747,0.00595888,751.151,356.789,3.24424
290,0.00593277,7.93616,0.00593103,751.019,357.34,3.26095
291,0.0059049,7.89759,0.00590316,751.051,357.912,3.27725
292,0.00587703,7.85903,0.00587529,751.078,358.487,3.29368
293,0.00584915,7.82045,0.00584741,750.935,359.046,3.3104
294,0.00582127,7.78186,0.00581952,750.974,359.628,3.32722
295,0.00579338,7.74326,0.00579163,751.004,360.213,3.34395
296,0.00576548,7.70465,0.00576374,751.031,360.801,3.3608
297,0.00573758,7.66603,0.00573583,750.895,361.375,3.37785
298,0.00570967,7.6274,0.00570793,750.93,361.973,3.39492
299,0.00568176,7.58878,0.00568002,750.959,362.574,3.41201
300,0.00565385,7.55014,0.0056521,750.986,363.18,3.4292
301,0.00562593,7.5115,0.00562419,750.853,363.775,3.44641
302,0.00559801,7.47286,0.00559627,750.886,364.394,3.46374
303,0.00557009,7.43422,0.00556834,750.915,365.018,3.48109
304,0.00554217,7.39558,0.00554042,750.773,365.631,3.49815
305,0.00551424,7.35695,0.0055125,750.812,366.27,3.51576
306,0.00548632,7.31832,0.00548458,750.844,366.917,3.53326
307,0.0054584,7.27969,0.00545665,750.874,367.572,3.55075
308,0.00543048,7.24108,0.00542873,750.736,368.22,3.56782
309,0.00540256,7.20247,0.00540082,750.772,368.895,3.58545
310,0.00537465,7.16388,0.0053729,750.804,369.58,3.60298
311,0.00534674,7.12529,0.00534499,750.655,370.258,3.61948
312,0.00531884,7.08673,0.00531709,750.699,370.97,3.63735
313,0.00529094,7.04819,0.0052892,750.734,371.693,3.65487
314,0.00526305,7.00967,0.00526131,750.767,372.43,3.67226
315,0.00523517,6.97117,0.00523343,750.624,373.167,3.68859
316,0.0052073,6.9327,0.00520556,750.664,373.938,3.70604
317,0.00517945,6.89425,0.00517771,750.699,374.725,3.7232
