time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
150,0.0121327,14.971,0.0121326,836.369,306.209,0.560644
151,0.0121311,14.9574,0.012131,836.754,306.374,0.559025
152,0.0121295,14.9439,0.0121294,837.134,306.542,0.557432
153,0.0121279,14.9304,0.0121278,837.51,306.711,0.555863
154,0.0121263,14.917,0.0121262,837.882,306.882,0.554315
155,0.0121247,14.9036,0.0121246,838.25,307.056,0.552789
156,0.0121231,14.8902,0.012123,838.613,307.231,0.551284
157,0.0121216,14.8769,0.0121215,838.973,307.409,0.549798
158,0.01212,14.8636,0.0121199,839.328,307.588,0.548331
159,0.0121184,14.8503,0.0121183,839.68,307.77,0.546882
160,0.0121168,14.8371,0.0121167,840.029,307.954,0.545451
161,0.0121153,14.824,0.0121152,840.373,308.139,0.544038
162,0.0121137,14.8108,0.0121136,840.714,308.327,0.542642
163,0.0121122,14.7977,0.0121121,841.051,308.516,0.541261
164,0.0121106,14.7846,0.0121105,841.385,308.708,0.539897
165,0.0121091,14.7716,0.012109,841.716,308.901,0.538549
166,0.0121075,14.7586,0.0121074,842.043,309.096,0.537217
167,0.012106,14.7456,0.0121059,842.367,309.294,0.5359
168,0.0121044,14.7327,0.0121043,842.687,309.493,0.534598
169,0.0121029,14.7198,0.0121028,843.005,309.693,0.533311
170,0.0121014,14.7069,0.0121013,843.319,309.896,0.532038
171,0.0120998,14.6941,0.0120997,843.63,310.101,0.530781
172,0.0120983,14.6813,0.0120982,843.938,310.307,0.529537
173,0.0120968,14.6685,0.0120967,844.243,310.515,0.528307
174,0.0120953,14.6557,0.0120952,844.545,310.725,0.52709
175,0.0120938,14.643,0.0120937,844.845,310.937,0.525888
176,0.0120922,14.6303,0.0120922,845.141,311.15,0.524699
177,0.0120907,14.6177,0.0120906,845.435,311.365,0.523524
178,0.0120892,14.605,0.0120891,845.725,311.582,0.522361
179,0.0120877,14.5924,0.0120876,846.013,311.8,0.521211
180,0.0120862,14.5799,0.0120861,846.299,312.02,0.520075
181,0.0120847,14.5673,0.0120846,846.582,312.242,0.518951
182,0.0120832,14.5548,0.0120831,846.862,312.465,0.517841
183,0.0120817,14.5423,0.0120817,847.139,312.69,0.516742
184,0.0120803,14.5299,0.0120802,847.414,312.917,0.515656
185,0.0120788,14.5175,0.0120787,847.687,313.145,0.514582
186,0.0120773,14.5051,0.0120772,847.957,313.374,0.513521
187,0.0120758,14.4927,0.0120757,848.225,313.605,0.512472
188,0.0120743,14.4803,0.0120742,848.49,313.838,0.511435
189,0.0120728,14.468,0.0120728,848.753,314.072,0.51041
190,0.0120714,14.4557,0.0120713,849.014,314.308,0.509396
191,0.0120699,14.4435,0.0120698,849.272,314.545,0.508395
192,0.0120684,14.4312,0.0120683,849.528,314.783,0.507406
193,0.012067,14.419,0.0120669,849.782,315.023,0.506428
194,0.0120655,14.4068,0.0120654,850.034,315.264,0.505461
195,0.012064,14.3947,0.0120639,850.283,315.506,0.504506
196,0.0120626,14.3825,0.0120625,850.531,315.75,0.503562
197,0.0120611,14.3704,0.012061,850.776,315.995,0.50263
198,0.0120596,14.3583,0.0120596,851.019,316.241,0.501709
199,0.0120582,14.3462,0.0120581,851.261,316.489,0.500799
200,0.0120567,14.3342,0.0120566,851.5,316.738,0.4999
201,0.0120553,14.3221,0.0120552,851.737,316.988,0.499013
202,0.0120538,14.3101,0.0120537,851.972,317.239,0.498137
203,0.0120524,14.2982,0.0120523,852.206,317.492,0.497271
204,0.0120509,14.2862,0.0120508,852.437,317.746,0.496417
205,0.0120495,14.2742,0.0120494,852.612,318.002,0.497138
206,0.012048,14.2622,0.012048,852.818,318.258,0.496179
207,0.0120466,14.2503,0.0120465,853.043,318.515,0.495191
208,0.0120451,14.2384,0.012045,853.271,318.774,0.494233
209,0.0120437,14.2265,0.0120436,853.498,319.033,0.493305
210,0.0120422,14.2147,0.0120422,853.722,319.293,0.492404
211,0.0120408,14.2028,0.0120407,853.944,319.554,0.491527
212,0.0120394,14.191,0.0120393,854.164,319.816,0.49067
213,0.0120379,14.1792,0.0120378,854.382,320.08,0.489832
214,0.0120365,14.1675,0.0120364,854.598,320.344,0.489013
215,0.012035,14.1557,0.0120349,854.811,320.609,0.488211
216,0.0120336,14.144,0.0120335,855.023,320.875,0.487425
217,0.0120322,14.1323,0.0120321,855.233,321.141,0.486655
218,0.0120307,14.1206,0.0120306,855.442,321.409,0.4859
219,0.0120293,14.1089,0.0120292,855.648,321.677,0.485159
220,0.0120279,14.0973,0.0120278,855.853,321.947,0.484431
221,0.0120264,14.0857,0.0120263,856.057,322.217,0.483718
222,0.012025,14.074,0.0120249,856.259,322.487,0.483018
223,0.0120236,14.0624,0.0120235,856.459,322.759,0.48233
224,0.0120221,14.0509,0.012022,856.658,323.031,0.481654
225,0.0120207,14.0393,0.0120206,856.855,323.304,0.480991
226,0.0120193,14.0278,0.0120192,857.05,323.578,0.48034
227,0.0120178,14.0163,0.0120178,857.245,323.852,0.479701
228,0.0120164,14.0047,0.0120163,857.438,324.127,0.479073
229,0.012015,13.9933,0.0120149,857.629,324.402,0.478457
230,0.0120135,13.9818,0.0120135,857.819,324.678,0.477851
231,0.0120121,13.9703,0.012012,858.008,324.955,0.477257
232,0.0120107,13.9589,0.0120106,858.195,325.232,0.476674
233,0.0120093,13.9474,0.0120092,858.381,325.509,0.476102
234,0.0120078,13.936,0.0120077,858.566,325.787,0.47554
235,0.0120064,13.9246,0.0120063,858.749,326.065,0.474988
236,0.012005,13.9133,0.0120049,858.931,326.344,0.474447
237,0.0120035,13.9019,0.0120034,859.112,326.624,0.473916
238,0.0120021,13.8905,0.012002,859.292,326.903,0.473396
239,0.0120006,13.8792,0.0120006,859.47,327.183,0.472885
